budget,revenue,original_title,director,runtime,genres,release_year
150000000,1513528810,Jurassic World,Colin Trevorrow,124,Action,2015
150000000,1513528810,Jurassic World,Colin Trevorrow,124,Adventure,2015
150000000,1513528810,Jurassic World,Colin Trevorrow,124,Science Fiction,2015
150000000,1513528810,Jurassic World,Colin Trevorrow,124,Thriller,2015
150000000,378436354,Mad Max: Fury Road,George Miller,120,Action,2015
150000000,378436354,Mad Max: Fury Road,George Miller,120,Adventure,2015
150000000,378436354,Mad Max: Fury Road,George Miller,120,Science Fiction,2015
150000000,378436354,Mad Max: Fury Road,George Miller,120,Thriller,2015
110000000,295238201,Insurgent,Robert Schwentke,119,Adventure,2015
110000000,295238201,Insurgent,Robert Schwentke,119,Science Fiction,2015
110000000,295238201,Insurgent,Robert Schwentke,119,Thriller,2015
200000000,2068178225,Star Wars: The Force Awakens,J.J. Abrams,136,Action,2015
200000000,2068178225,Star Wars: The Force Awakens,J.J. Abrams,136,Adventure,2015
200000000,2068178225,Star Wars: The Force Awakens,J.J. Abrams,136,Science Fiction,2015
200000000,2068178225,Star Wars: The Force Awakens,J.J. Abrams,136,Fantasy,2015
190000000,1506249360,Furious 7,James Wan,137,Action,2015
190000000,1506249360,Furious 7,James Wan,137,Crime,2015
190000000,1506249360,Furious 7,James Wan,137,Thriller,2015
135000000,532950503,The Revenant,Alejandro GonzÃ¡lez IÃ±Ã¡rritu,156,Western,2015
135000000,532950503,The Revenant,Alejandro GonzÃ¡lez IÃ±Ã¡rritu,156,Drama,2015
135000000,532950503,The Revenant,Alejandro GonzÃ¡lez IÃ±Ã¡rritu,156,Adventure,2015
135000000,532950503,The Revenant,Alejandro GonzÃ¡lez IÃ±Ã¡rritu,156,Thriller,2015
155000000,440603537,Terminator Genisys,Alan Taylor,125,Science Fiction,2015
155000000,440603537,Terminator Genisys,Alan Taylor,125,Action,2015
155000000,440603537,Terminator Genisys,Alan Taylor,125,Thriller,2015
155000000,440603537,Terminator Genisys,Alan Taylor,125,Adventure,2015
108000000,595380321,The Martian,Ridley Scott,141,Drama,2015
108000000,595380321,The Martian,Ridley Scott,141,Adventure,2015
108000000,595380321,The Martian,Ridley Scott,141,Science Fiction,2015
74000000,1156730962,Minions,Kyle Balda|Pierre Coffin,91,Family,2015
74000000,1156730962,Minions,Kyle Balda|Pierre Coffin,91,Animation,2015
74000000,1156730962,Minions,Kyle Balda|Pierre Coffin,91,Adventure,2015
