budget,revenue,original_title,director,runtime,production_companies,release_year
150000000,1513528810,Jurassic World,Colin Trevorrow,124,Universal Studios,2015
150000000,1513528810,Jurassic World,Colin Trevorrow,124,Amblin Entertainment,2015
150000000,1513528810,Jurassic World,Colin Trevorrow,124,Legendary Pictures,2015
150000000,1513528810,Jurassic World,Colin Trevorrow,124,Fuji Television Network,2015
150000000,1513528810,Jurassic World,Colin Trevorrow,124,Dentsu,2015
150000000,378436354,Mad Max: Fury Road,George Miller,120,Village Roadshow Pictures,2015
150000000,378436354,Mad Max: Fury Road,George Miller,120,Kennedy Miller Productions,2015
110000000,295238201,Insurgent,Robert Schwentke,119,Summit Entertainment,2015
110000000,295238201,Insurgent,Robert Schwentke,119,Mandeville Films,2015
110000000,295238201,Insurgent,Robert Schwentke,119,Red Wagon Entertainment,2015
110000000,295238201,Insurgent,Robert Schwentke,119,NeoReel,2015
200000000,2068178225,Star Wars: The Force Awakens,J.J. Abrams,136,Lucasfilm,2015
200000000,2068178225,Star Wars: The Force Awakens,J.J. Abrams,136,Truenorth Productions,2015
200000000,2068178225,Star Wars: The Force Awakens,J.J. Abrams,136,Bad Robot,2015
190000000,1506249360,Furious 7,James Wan,137,Universal Pictures,2015
190000000,1506249360,Furious 7,James Wan,137,Original Film,2015
190000000,1506249360,Furious 7,James Wan,137,Media Rights Capital,2015
190000000,1506249360,Furious 7,James Wan,137,Dentsu,2015
190000000,1506249360,Furious 7,James Wan,137,One Race Films,2015
135000000,532950503,The Revenant,Alejandro GonzÃ¡lez IÃ±Ã¡rritu,156,Regency Enterprises,2015
135000000,532950503,The Revenant,Alejandro GonzÃ¡lez IÃ±Ã¡rritu,156,Appian Way,2015
135000000,532950503,The Revenant,Alejandro GonzÃ¡lez IÃ±Ã¡rritu,156,CatchPlay,2015
135000000,532950503,The Revenant,Alejandro GonzÃ¡lez IÃ±Ã¡rritu,156,Anonymous Content,2015
135000000,532950503,The Revenant,Alejandro GonzÃ¡lez IÃ±Ã¡rritu,156,New Regency Pictures,2015
155000000,440603537,Terminator Genisys,Alan Taylor,125,Paramount Pictures,2015
155000000,440603537,Terminator Genisys,Alan Taylor,125,Skydance Productions,2015
108000000,595380321,The Martian,Ridley Scott,141,Twentieth Century Fox Film Corporation,2015
108000000,595380321,The Martian,Ridley Scott,141,Scott Free Productions,2015
108000000,595380321,The Martian,Ridley Scott,141,Mid Atlantic Films,2015
108000000,595380321,The Martian,Ridley Scott,141,International Traders,2015
108000000,595380321,The Martian,Ridley Scott,141,TSG Entertainment,2015
74000000,1156730962,Minions,Kyle Balda|Pierre Coffin,91,Universal Pictures,2015
74000000,1156730962,Minions,Kyle Balda|Pierre Coffin,91,Illumination Entertainment,2015
175000000,853708609,Inside Out,Pete Docter,94,Walt Disney Pictures,2015
175000000,853708609,Inside Out,Pete Docter,94,Pixar Animation Studios,2015
175000000,853708609,Inside Out,Pete Docter,94,Walt Disney Studios Motion Pictures,2015
245000000,880674609,Spectre,Sam Mendes,148,Columbia Pictures,2015
245000000,880674609,Spectre,Sam Mendes,148,Danjaq,2015
245000000,880674609,Spectre,Sam Mendes,148,B24,2015
176000003,183987723,Jupiter Ascending,Lana Wachowski|Lilly Wachowski,124,Village Roadshow Pictures,2015
176000003,183987723,Jupiter Ascending,Lana Wachowski|Lilly Wachowski,124,Dune Entertainment,2015
176000003,183987723,Jupiter Ascending,Lana Wachowski|Lilly Wachowski,124,Anarchos Productions,2015
176000003,183987723,Jupiter Ascending,Lana Wachowski|Lilly Wachowski,124,Warner Bros.,2015
15000000,36869414,Ex Machina,Alex Garland,108,DNA Films,2015
15000000,36869414,Ex Machina,Alex Garland,108,Universal Pictures International (UPI),2015
15000000,36869414,Ex Machina,Alex Garland,108,Film4,2015
88000000,243637091,Pixels,Chris Columbus,105,Columbia Pictures,2015
88000000,243637091,Pixels,Chris Columbus,105,Happy Madison Productions,2015
280000000,1405035767,Avengers: Age of Ultron,Joss Whedon,141,Marvel Studios,2015
280000000,1405035767,Avengers: Age of Ultron,Joss Whedon,141,Prime Focus,2015
280000000,1405035767,Avengers: Age of Ultron,Joss Whedon,141,Revolution Sun Studios,2015
44000000,155760117,The Hateful Eight,Quentin Tarantino,167,Double Feature Films,2015
44000000,155760117,The Hateful Eight,Quentin Tarantino,167,The Weinstein Company,2015
44000000,155760117,The Hateful Eight,Quentin Tarantino,167,FilmColony,2015
48000000,325771424,Taken 3,Olivier Megaton,109,Twentieth Century Fox Film Corporation,2015
48000000,325771424,Taken 3,Olivier Megaton,109,M6 Films,2015
48000000,325771424,Taken 3,Olivier Megaton,109,Canal+,2015
48000000,325771424,Taken 3,Olivier Megaton,109,EuropaCorp,2015
48000000,325771424,Taken 3,Olivier Megaton,109,CinÃ©+,2015
95000000,542351353,Cinderella,Kenneth Branagh,112,Walt Disney Pictures,2015
95000000,542351353,Cinderella,Kenneth Branagh,112,Genre Films,2015
95000000,542351353,Cinderella,Kenneth Branagh,112,Beagle Pug Films,2015
95000000,542351353,Cinderella,Kenneth Branagh,112,Allison Shearmur Productions,2015
160000000,650523427,The Hunger Games: Mockingjay - Part 2,Francis Lawrence,136,Studio Babelsberg,2015
160000000,650523427,The Hunger Games: Mockingjay - Part 2,Francis Lawrence,136,StudioCanal,2015
160000000,650523427,The Hunger Games: Mockingjay - Part 2,Francis Lawrence,136,Lionsgate,2015
160000000,650523427,The Hunger Games: Mockingjay - Part 2,Francis Lawrence,136,Walt Disney Studios Motion Pictures,2015
160000000,650523427,The Hunger Games: Mockingjay - Part 2,Francis Lawrence,136,Color Force,2015
190000000,209035668,Tomorrowland,Brad Bird,130,Walt Disney Pictures,2015
190000000,209035668,Tomorrowland,Brad Bird,130,Babieka,2015
190000000,209035668,Tomorrowland,Brad Bird,130,A113,2015
30000000,91709827,Southpaw,Antoine Fuqua,123,Escape Artists,2015
30000000,91709827,Southpaw,Antoine Fuqua,123,Riche-Ludwig Productions,2015
110000000,470490832,San Andreas,Brad Peyton,114,New Line Cinema,2015
110000000,470490832,San Andreas,Brad Peyton,114,Village Roadshow Pictures,2015
110000000,470490832,San Andreas,Brad Peyton,114,Warner Bros.,2015
110000000,470490832,San Andreas,Brad Peyton,114,Flynn Picture Company,2015
40000000,569651467,Fifty Shades of Grey,Sam Taylor-Johnson,125,Focus Features,2015
40000000,569651467,Fifty Shades of Grey,Sam Taylor-Johnson,125,Trigger Street Productions,2015
40000000,569651467,Fifty Shades of Grey,Sam Taylor-Johnson,125,Michael De Luca Productions,2015
28000000,133346506,The Big Short,Adam McKay,130,Paramount Pictures,2015
28000000,133346506,The Big Short,Adam McKay,130,Plan B Entertainment,2015
28000000,133346506,The Big Short,Adam McKay,130,Regency Enterprises,2015
150000000,682330139,Mission: Impossible - Rogue Nation,Christopher McQuarrie,131,Paramount Pictures,2015
150000000,682330139,Mission: Impossible - Rogue Nation,Christopher McQuarrie,131,Skydance Productions,2015
150000000,682330139,Mission: Impossible - Rogue Nation,Christopher McQuarrie,131,China Movie Channel,2015
150000000,682330139,Mission: Impossible - Rogue Nation,Christopher McQuarrie,131,Bad Robot,2015
150000000,682330139,Mission: Impossible - Rogue Nation,Christopher McQuarrie,131,TC Productions,2015
68000000,215863606,Ted 2,Seth MacFarlane,115,Universal Pictures,2015
68000000,215863606,Ted 2,Seth MacFarlane,115,Media Rights Capital,2015
68000000,215863606,Ted 2,Seth MacFarlane,115,Fuzzy Door Productions,2015
81000000,403802136,Kingsman: The Secret Service,Matthew Vaughn,130,Twentieth Century Fox Film Corporation,2015
81000000,403802136,Kingsman: The Secret Service,Matthew Vaughn,130,Marv Films,2015
